"location: ","New York, Kennedy International Airport","Year: ","2018","Month: ","01"
"Weather station: ","744860","ICAO","KJFK","Latitude: ","40.65","Longitude: ","","Altitude: ","3"
"Day","T","TM","Tm","SLP","H","PP","VV","V","VM","VG","RA","SN","TS","FG"
"","Average Temperature","Maximum temperature","Minimum temperature","Atmospheric pressure at sea level","Average relative humidity","Total rainfall and / or snowmelt","Average visibility","Average wind speed","Maximum sustained wind speed","Maximum speed of wind","Indicate if there was rain or drizzle (In the monthly average, total days it rained)","Snow indicator (In the monthly average, total days that snowed)","Indicates whether there storm (In the monthly average, Total days with thunderstorm)","Indicates whether there was fog (In the monthly average, Total days with fog)"
"2018-01-01","-11.3","-6.1","-13.9","1027.8","48","0","16.1","29.8","38.9","51.9","","","",""
"2018-01-02","-7.6","-3.3","-13.9","1029","50","0","16.1","24.4","31.7","38.9","","","",""
"2018-01-03","-6.1","-2.2","-11.1","1026.7","46","0","16.1","16.7","31.7","-","","","",""
"2018-01-04","-4","-1.7","-11.1","1005.5","76","1.02","6.9","36.3","66.5","85.2","","","",""
"2018-01-05","-9.2","-1.7","-12.8","1005.7","54","11.43","15.9","43","55.4","74.1","","","",""
"2018-01-06","-11.6","-7.2","-13.3","1021.2","42","0","15.9","36.7","46.5","63","","","",""
"2018-01-07","-12.6","-8.3","-15.6","1033.2","51","0","16.1","23.9","44.6","57.6","","","",""
"2018-01-08","-5.7","-0.6","-15.6","1026.4","61","0","16.1","23.5","33.5","-","o","o","",""
"2018-01-09","1.1","6.1","-8.3","1020.1","67","0.51","16.1","22.4","35.2","-","","","",""
"2018-01-10","-0.1","6.1","-6.1","1030.8","66","0","16.1","9.8","22.2","-","","","",""
"2018-01-11","5.1","8.9","-6.1","1029","91","0","15.8","5.2","14.8","-","","","",""
"2018-01-12","8.5","12.2","2.8","1016.8","99","0.25","3.5","20.9","42.4","61.1","","","",""
"2018-01-13","5.2","12.2","-3.3","1010.6","80","13.21","7.7","31.9","50","61.1","o","","","o"
"2018-01-14","-6.6","-3.3","-8.9","1032.9","44","2.03","16.1","28.2","40.7","50","","","",""
"2018-01-15","-5.8","-1.1","-9.4","1037.4","60","0","16.1","22.2","29.4","37","","","",""
"2018-01-16","-1.8","3.9","-8.3","1032.6","80","0","16.1","10.2","14.8","-","","","",""
"2018-01-17","1.4","3.9","-6.1","1025.9","92","1.78","10.9","14.6","25.9","-","","","",""
"2018-01-18","-3.3","0.6","-7.2","1018","54","3.81","16.1","24.3","33.5","42.4","","","",""
"2018-01-19","-1.2","3.3","-7.2","1017.8","54","0","16.1","18.9","25.9","-","","","",""
"2018-01-20","4.2","12.2","-5.6","1013.4","55","0","16.1","20.2","33.5","50","","","",""
"2018-01-21","5.1","12.2","-1.7","1019.7","63","0","16.1","13.3","22.2","-","","","",""
"2018-01-22","6.7","11.1","-1.1","1021.6","82","0","15.6","7.2","18.3","-","","","",""
"2018-01-23","7.7","12.2","4.4","1008.8","97","0.25","6.6","18.1","48.2","59.4","","","",""
"2018-01-24","5.7","12.2","1.1","1011","55","5.33","16.1","27.4","35.2","46.5","","","",""
"2018-01-25","-1.7","6.7","-5","1025.5","41","0","16.1","28","35.2","50","","","",""
"2018-01-26","-1.3","2.2","-5","1037.7","36","0","16.1","12.8","25.9","-","","","",""
"2018-01-27","3.3","9.4","-4.4","1033.3","78","0","16.1","18.7","33.5","-","","","",""
"2018-01-28","8","10","-0.6","1024.6","90","3.3","12.4","11.5","25.9","-","","","",""
"2018-01-29","5.8","10","3.9","1022.4","70","3.3","16.1","19.4","29.4","42.4","","","",""
"2018-01-30","0.7","6.7","-1.7","1015.8","79","1.78","11.1","22.2","46.5","55.4","","","",""
"2018-01-31","-3.9","2.2","-7.8","1022.8","51","2.54","16.1","24.4","46.5","51.9","","","",""