"location","weather station","ICAO","Latitude","Longitude","Altitude"
"ALTAI","442770","","46.4","96.25","2181"
"AMARBUYANTAYN","443290","","44.61","98.7","2103"
"ARVAIHEER","442880","","46.26","102.78","1813"
"BAITAG","442650","","46.11","91.63","1186"
"BARUUN-URT","443050","","46.68","113.28","981"
"BARUUNHARAA","442410","","48.91","106.06","807"
"BARUUNTURUUN","442130","","49.65","94.4","1232"
"BAT OLDZIY BUND","442860","","46.96","103.8","1358"
"BATA SUMBER","442400","","48.41","106.71","630"
"BAYAN DOBO SUMA","443480","","44.56","107.18","1093"
"BAYAN-OVOO","443020","","47.78","112.11","926"
"BAYANBULAG","442750","","46.83","98.08","2255"
"BAYANDELGER","443520","","45.73","112.36","1101"
"BAYANHONGOR","442870","","46.13","100.68","1859"
"BINDER","442570","","48.61","110.6","747"
"BOGD","443380","","44.65","102.16","1646"
"BOGUS MONGOLIAN","442160","","","",""
"BOGUS MONGOLIAN","442240","","","",""
"BULGAN","442390","","48.8","103.55","1208"
"BULGAN","442640","","46.08","91.53","1190"
"CHOIBALSAN","442590","","48.08","114.5","747"
"CHOIR","442980","","46.45","108.21","1286"
"DALANZADGAD","443730","","43.58","104.41","1465"
"DASHBALBAR","442560","","49.55","114.4","705"
"DELGER","442780","","46.36","97.36","0"
"DIBA","412420","","","",""
"DZUUNHARAA","442450","","48.86","106.46","895"
"ERDENE-TSAGAAN","443170","","45.93","115.36","1067"
"ERDENEMANDAL","442370","","48.53","101.38","1509"
"ERDENI","443250","","45.15","97.76","2417"
"GALUUT","442840","","46.7","100.13","2126"
"GANDAN HURYEE","442210","","49.65","95.78","1421"
"HADATYN","442420","","49.45","107.2","762"
"HANBOGD","443850","","43.2","107.16","914"
"HATGAL","442070","","50.43","100.15","1668"
"HOVD","442180","","48.01","91.65","1405"
"HUJIRT","442850","","46.9","102.76","1662"
"HUTAG","442320","","49.38","102.7","938"
"KHALKH-GOL","443130","","47.61","118.61","688"
"LUNG","442900","","47.86","105.25","1530"
"MAANTI","442940","","47.3","107.48","1430"
"MANDALGOBI","443410","","45.76","106.28","1393"
"MATAD","443140","","47.16","115.58","907"
"MUREN","442310","","49.63","100.16","1283"
"NAME AND LOC UNK","442360","","","",""
"OMNO-GOBI","442150","","49.01","91.71","1590"
"RINCHINLHUMBE","442030","","51.11","99.66","1583"
"SAIKHAN-OVOO","443360","","45.45","103.9","1316"
"SAINSHAND","443540","","44.9","110.11","938"
"SHINE USA","443740","","42.9","100.21","1494"
"Taipa","450110","VMMC","22.16","113.53","114"
"TARIALAN","442300","","49.56","102","1235"
"TARIAT","442290","","48.08","99.55","2041"
"TATAAL","442540","","48.85","111.45","994"
"TOLBO","442170","","48.41","90.3","2101"
"TONHIL","442660","","46.31","93.9","2095"
"TOSONTSENGEL","442250","","48.73","98.28","1723"
"TSETSERLEG","442820","","47.45","101.46","1691"
"TSOGT-OVOO","443470","","44.41","105.31","1298"
"ULAANGOM","442120","","49.8","92.08","939"
"ULGI","442140","","48.93","89.96","1715"
"ULIASTAI","442720","","47.75","96.85","1759"
"ULYGAIIN DUGANG","442430","","49.83","107.73","883"
"UNDERKHAAN","443040","","47.31","110.66","1033"
"UNKNOWN MONGOLIA","443860","","43.18","109.21","213"
"URGAMAL","442190","","48.51","94.3","1263"
"ZAMYN-UUD","443580","","43.73","111.9","964"